prob,val
0.3,-2.50490177947566
0.3,-2.46366280057787
0.3,-2.49403478777572
0.3,-2.56020642645449
0.3,-2.48888421101899
0.3,-2.49288339942075
0.3,-2.50714723753701
0.3,-2.4767223299926
0.3,-2.52147231070593
0.3,-2.50237388993863
0.3,-2.42490424878383
0.3,-2.48615905910147
0.3,-2.43981798791883
0.3,-2.45502332773374
0.3,-2.4585504151217
0.3,-2.49315219206362
0.3,-2.5180817027888
0.3,-2.52041845383003
0.3,-2.40118585059553
0.3,-2.54046247273909
0.3,-2.46335963483508
0.3,-2.52214518430971
0.3,-2.44464383700954
0.3,-2.46481702117986
0.3,-2.49894490849458
0.3,-2.49951275980539
0.3,-2.48514819688001
0.3,-2.4794510499732
0.3,-2.50368038655743
0.3,-2.49857678398171
0.3,-2.49050480607785
0.3,-2.49517387718186
0.3,-2.46079151982069
0.3,-2.52835037804661
0.3,-2.47036604126221
0.3,-2.43336141576079
0.3,-2.4740387934778
0.3,-2.481355976134
0.3,-2.53307107535508
0.3,-2.50517362156631
0.3,-2.41725505541547
0.3,-2.41920892608165
0.3,-2.41851378228074
0.3,-2.45477444385823
0.35,-2.44396223097431
0.35,-2.45283970490996
0.35,-2.40264785217497
0.35,-2.43884265607427
0.35,-2.47817662783758
0.35,-2.4799584386325
0.35,-2.51834193832991
0.35,-2.50163805678151
0.35,-2.4739258052555
0.35,-2.47581306305509
0.35,-2.48653200805875
0.35,-2.50550162083013
0.35,-2.46868139352188
0.35,-2.51643833187704
0.35,-2.53387943974362
0.35,-2.45821885280767
0.35,-2.51256509140583
0.35,-2.42766305905147
0.35,-2.45115755478364
0.35,-2.47686507862374
0.35,-2.43771166593285
0.35,-2.45676409595587
0.35,-2.38675584092549
0.35,-2.44794189396955
0.35,-2.52467514869526
0.35,-2.45407084342835
0.35,-2.51201120656613
0.35,-2.43639912756351
0.35,-2.44199491577126
0.35,-2.51597931594048
0.35,-2.48953471541429
0.35,-2.55823386976947
0.35,-2.46165960725503
0.35,-2.46434131528659
0.35,-2.55759556236987
0.35,-2.47239497385827
0.35,-2.46368275744186
0.35,-2.42578798920477
0.35,-2.47523150260348
0.35,-2.52743672554705
0.35,-2.4600713605916
0.35,-2.52315412274978
0.35,-2.47105985135536
0.35,-2.55519171419452
0.35,-2.35557391994608
0.35,-2.53367379955391
0.35,-2.47400183195987
0.35,-2.47560762787588
0.35,-2.5088086573906
0.35,-2.41886462900197
0.35,-2.4527175667312
0.35,-2.44975245380836
0.35,-2.48752844247644
0.35,-2.53453313504519
0.35,-2.46404382498857
